Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Bruno Mars,That's What I Like (feat. Gucci Mane),60.0,0.854,0.564,1.0,-4.964,1,0.0485,0.0171,,0.0849,0.899,134.071,234596.0,4,5
Boston,Hitch a Ride,54.0,0.382,0.814,3.0,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,251733.0,4,10
The Raincoats,No Side to Fall In,35.0,0.434,0.614,6.0,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4,6
Deno,Lingo (feat. J.I & Chunkz),66.0,0.853,0.597,10.0,-6.528,0,0.0555,0.0212,,0.122,0.569,107.033,173968.0,4,5
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.167,0.975,2.0,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4,10
The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,0.977,6.0,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133.0,4,6
<<<<<<< HEAD
=======
Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,0.563,7.0,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4,3
Arctic Monkeys,The View From The Afternoon,59.0,0.387,0.922,9.0,-5.192,0,0.0674,0.00487,,0.187,0.417,146.478,222947.0,4,10
DaBaby,Baby Sitter (feat. Offset),70.0,0.852,0.73,1.0,-5.803,1,0.0579,0.0219,,0.336,0.394,92.506,157693.0,4,5
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.347,0.411,6.0,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,283013.0,4,6
Clairmont The Second,intres-ting,44.0,0.796,0.441,7.0,-9.83,1,0.292,0.16,2.89e-05,0.118,0.371,158.105,137872.0,4,1
Krankhead,Cut Throat,29.0,0.805,0.448,7.0,-9.452,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,138000.0,4,5
The Stone Roses,Driving South,44.0,0.472,0.947,9.0,-6.128,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,309867.0,4,10
>>>>>>> d09adc7bb3eaba964a8d0ab7daf1f2ef697b37e7
